Name,Score,Type,Episodes,Aired,Studios,Premiered
Saiki Kusuo no Ψ-nan,8.41,TV,120,"Jul 4, 2016 to Dec 26, 2016",J.C.Staff,Summer 2016
Saiki Kusuo no Ψ-nan 2,8.41,TV,24,"Jan 17, 2018 to Jun 27, 2018",J.C.Staff,Winter 2018
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.41,Movie,1,"Aug 30, 2019",J.C.Staff,N/A
Mononoke,8.41,TV,12,"Jul 13, 2007 to Sep 28, 2007",Toei Animation,Summer 2007
Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,8.41,TV,12,"Apr 8, 2024 to Jul 1, 2024",Studio Bind,Spring 2024
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.40,TV,12,"Jan 12, 2019 to Mar 30, 2019",A-1 Pictures,Winter 2019
Kamisama Hajimemashita: Kako-hen,8.40,OVA,4,"Aug 20, 2015 to Aug 19, 2016",TMS Entertainment,N/A
Natsume Yuujinchou Roku Specials,8.40,Special,2,"Sep 27, 2017 to Oct 25, 2017",Shuka,N/A
Jujutsu Kaisen 0 Movie,8.39,Movie,1,"Dec 24, 2021",MAPPA,N/A
Major S5,8.39,TV,25,"Jan 10, 2009 to Jun 27, 2009",SynergySP,Winter 2009
Ramayana: The Legend of Prince Rama,8.39,Movie,1,"Jan 15, 1993",Nippon Ramayana Film,N/A
Blue Giant,8.39,Movie,1,"Feb 17, 2023",Nut,N/A
Chiikawa,8.39,TV,N/A,"Apr 4, 2022 to ?",Doga Kobo,Spring 2022
Houseki no Kuni,8.39,TV,12,"Oct 7, 2017 to Dec 23, 2017",Orange,Fall 2017
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.39,Movie,1,"Feb 24, 2018",P.A. Works,N/A
Xian Ni,8.39,ONA,128,"Sep 25, 2023 to ?",BUILD DREAM,N/A
Violet Evergarden: Recollections,8.38,Special,1,"Oct 29, 2021",Kyoto Animation,N/A
Vivy: Fluorite Eye's Song,8.38,TV,13,"Apr 3, 2021 to Jun 19, 2021",Wit Studio,Spring 2021
Yuru Camp△ Movie,8.38,Movie,1,"Jul 1, 2022",C-Station,N/A
Josee to Tora to Sakana-tachi,8.38,Movie,1,"Dec 25, 2020",Bones,N/A
Kaze ga Tsuyoku Fuiteiru,8.38,TV,23,"Oct 3, 2018 to Mar 27, 2019",Production I.G,Fall 2018
Made in Abyss Movie 2: Hourou Suru Tasogare,8.38,Movie,1,"Jan 18, 2019",Kinema Citrus,N/A
Mahou Shoujo Madoka★Magica,8.38,TV,12,"Jan 7, 2011 to Apr 22, 2011",Shaft,Winter 2011
Cowboy Bebop: Tengoku no Tobira,8.38,Movie,1,"Sep 1, 2001",Bones,N/A
Gintama°: Aizome Kaori-hen,8.38,OVA,2,"Aug 4, 2016 to Nov 4, 2016",Bandai Namco Pictures,N/A
3-gatsu no Lion,8.37,TV,22,"Oct 8, 2016 to Mar 18, 2017",Shaft,Fall 2016
Chihayafuru 2,8.37,TV,25,"Jan 12, 2013 to Jun 29, 2013",Madhouse,Winter 2013
Cross Game,8.37,TV,50,"Apr 5, 2009 to Mar 28, 2010",SynergySP,Spring 2009
Fruits Basket: Prelude,8.37,Movie,1,"Feb 18, 2022",TMS Entertainment,N/A
Girls Band Cry,8.37,TV,13,"Apr 6, 2024 to Jun 29, 2024",Toei Animation,Spring 2024
Haikyuu!! To the Top,8.37,TV,13,"Jan 11, 2020 to Apr 4, 2020",Production I.G,Winter 2020
Tunshi Xingkong 3rd Season,8.37,ONA,33,"Sep 14, 2022 to Apr 26, 2023",Sparkly Key Animation Studio,N/A
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),8.37,Movie,1,"Aug 8, 2009",ufotable,N/A
Karakai Jouzu no Takagi-san 3,8.37,TV,12,"Jan 8, 2022 to Mar 26, 2022",Shin-Ei Animation,Winter 2022
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.37,Movie,1,"Oct 13, 2012",Shaft,N/A
Medalist,8.37,TV,13,"Jan 5, 2025 to Mar 30, 2025",ENGI,Winter 2025
